Feature,Importance
10,0.0
10 error,0.0
10 min,0.0
10 percent,0.0
10 source,0.0
10 ui,0.0
100,0.0
100 is,0.0
100 milliseconds,0.0
100 percent,0.0
100 requests,0.0
100 where,0.0
1000,0.0
1000 alerts,0.0
1000 calls,0.0
1000 known,0.0
1000 requests,0.0
10000,0.0
100k,0.0
100m,0.0
100m records,0.0
10m,0.0
10m records,0.0
12,0.0
12 scenarios,0.0
15,0.0
15 minutes,0.0
1b,0.0
20,0.0
20 percent,0.0
24,0.0
24 hours,0.0
24hr,0.0
24x7,0.0
2hr,0.0
30,0.0
30 days,0.0
30 minutes,0.0
30 seconds,0.0
30min,0.0
360,0.0
360 view,0.0
429,0.0
4hr,0.0
50,0.0
5000,0.0
70,0.0
70 percent,0.0
80,0.0
80 percent,0.0
90,0.0
90 days,0.0
99,0.0
99 percent,0.0
able,0.0
able to,2.749219472786665e-07
about,0.0
acceptance,0.0
acceptance testing,0.0
accepted,0.0
access,0.0
access control,0.0
access request,0.0
access review,0.0
access to,0.0
accesses,0.0
account,0.0
accounts,0.0
accounts when,0.0
accuracy,0.0
achieved,0.0
across,0.0
across multiple,0.0
action,0.0
action items,0.0
actions,0.0
active,0.0
activities,0.0
activity,0.0
activity monitoring,0.0
activity report,0.0
actual,0.0
add,0.0
add comments,0.0
add unit,0.0
added,0.0
additional,0.0
address,0.0
address it,0.0
address the,0.0
address them,0.0
addressed,0.0
admin,0.0
admin want,0.0
adrs,0.0
adrs for,0.0
after,0.0
against,0.0
aggregate,0.0
aggregation,0.0
aging,0.0
aging report,0.0
agreed,0.0
agreed in,0.0
agreement,0.0
ahead,0.0
ahead logging,0.0
alert,0.0
alert count,0.0
alert data,0.0
alert generation,0.0
alert if,0.0
alert is,0.0
alert must,0.0
alert prioritization,0.0
alert review,0.0
alert table,0.0
alert with,0.0
alerts,0.0
alerts aging,0.0
alerts are,0.0
alerts as,0.0
alerts for,0.0
alerts must,0.0
alerts so,0.0
alerts were,0.0
aligned,0.0
aligned given,0.0
aligns,0.0
aligns with,0.0
all,0.0
all 12,0.0
all alerts,0.0
all aml,0.0
all comments,0.0
all components,0.0
all data,0.0
all environments,0.0
all feedback,0.0
all pii,0.0
all services,0.0
all tables,0.0
all tests,0.0
allowed,0.0
already,0.0
am,0.0
am then,0.0
am when,0.0
aml,0.0
aml alerts,0.0
aml data,0.0
aml decisions,0.0
aml module,0.0
aml monitoring,0.0
aml processing,0.0
aml project,0.0
aml scenario,0.0
aml scenarios,0.0
aml solution,0.0
amount,0.0
amount exceeds,0.0
an,3.907979692955013e-06
an architect,0.0
an auditor,0.0
an incident,0.0
an investigator,0.0
an operations,0.0
an sre,0.0
analysis,0.0
analysis as,0.0
analysis for,0.0
analysis is,0.0
analysis runs,0.0
analyst,0.0
analyst so,0.0
analyst want,0.0
analyze,0.0
and,0.00055746729438684
and action,0.0
and change,0.0
and data,0.0
and error,0.0
and expected,0.0
and indexes,0.0
and record,0.0
and reporting,0.0
and risk,0.0
and roles,0.0
and security,0.0
and send,0.0
and sla,0.0
and status,0.0
and target,0.0
and timeliness,0.0
and track,0.0
and transformation,0.0
annual,0.0
anomaly,0.0
anomaly detection,0.0
any,0.0
any issues,0.0
any job,0.0
api,0.0
api calls,0.0
api contracts,0.0
api credentials,0.0
api integration,0.0
api rate,0.00234522117594958
api so,0.0
api to,0.0
apis,0.0
application,0.0
applied,0.0
applied then,0.0
apply,0.0
approach,0.0
appropriate,0.0
approval,0.0
approval for,0.0
approval from,0.0
approvals,0.0
approve,0.0
approved,0.0
approved design,0.0
approved given,0.0
approved so,0.0
approved when,0.0
architect,0.0
architect so,0.0
architect want,0.0
architecture,0.0
architecture diagram,0.0
architecture review,0.0
are,5.4920397018954265e-06
are aligned,0.0
are applied,0.0
are caught,0.0
are clear,0.0
are collected,0.0
are defined,0.0
are detected,0.0
are documented,2.2204329847742073e-05
are flagged,0.0
are followed,0.0
are identified,0.0
are in,0.0
are managed,0.0
are met,0.0
are mitigated,0.0
are not,0.0
are pending,0.0
are reused,0.0
are satisfied,0.0
are submitted,0.0
are tracked,0.0
as,4.635679351726125e-05
as agreed,0.0
as an,0.0
as batch,1.2221093621607484e-07
as business,0.0
as compliance,0.0
as data,0.01199944985640644
as database,0.0
as dba,0.0
as decided,0.0
as described,0.0
as developer,0.0034814982077355917
as devops,0.0
as discussed,0.0
as dr,0.0
as expected,0.0
as fraud,0.0
as instructed,0.0
as pep,0.0
as per,0.0
as performance,0.0
as planned,0.0
as po,0.0
as potential,0.0
as privacy,0.0
as procurement,0.0
as program,0.0
as project,0.0
as qa,0.0
as release,0.0
as requested,0.0
as risk,0.0
as scrum,0.0
as security,0.0
as systems,0.0
as talked,0.0
as tech,0.0
as technical,0.0
as trainer,0.0
asked,0.0
assessment,0.0
assessment as,0.0
assessment for,0.0
assessment so,0.0
asset,0.0
asset service,0.0
assign,0.0
assigned,0.0
assigned to,0.0
assigned when,0.0
at,0.0
at am,0.0
at least,0.0
at rest,0.0
audiences,0.0
audit,0.0
audit as,0.0
audit logging,0.0
audit record,0.0
audit requirements,0.0
audit so,0.0
audit trail,0.0
audit_log,0.0
auditor,0.0
auditor want,0.0
authentication,0.0
authorization,0.0
authorized,0.0
authorized data,0.0
automated,0.0
automated deployment,0.0
automated regression,0.0
automatic,0.0
automatically,0.0
automatically so,0.0
automation,0.0
automation as,0.0
availability,2.726214008755604e-05
available,0.0
available when,0.0
average,0.0
ba,0.0
backlog,0.0
backlog as,0.0
backlog is,0.0
backlog refinement,0.0
backlog so,0.0
backup,0.0
bank,0.0
bank is,0.0
bank standards,0.0
based,0.0
based access,0.0
based on,0.0
baseline,0.0
baseline as,0.0
baseline for,0.0
baseline metrics,0.0
batch,0.0
batch job,0.0
batch jobs,0.0
batch operator,0.0
be,0.0
be able,4.1837398362499284e-06
be achieved,0.0
be added,0.0
be approved,0.0
be better,0.0
be calculated,0.0
be captured,0.0
be checked,0.0
be closed,0.0
be compliant,0.0
be consistent,0.0
be deployed,0.0
be done,0.0
be fixed,0.0
be flagged,0.0
be generated,0.0
be identified,0.0
be masked,0.0
be merged,0.0
be met,0.0
be ready,0.0
be reduced,0.0
be refreshed,0.0
be resolved,0.0
be reviewed,1.290253276901858e-10
be satisfied,0.0
be secure,0.0
be stored,5.365716175743417e-10
be successful,0.0
be triggered,0.0
be updated,0.0
before,3.6189261553560106e-08
before merge,0.0
behavior,0.0
behavior should,0.0
being,0.0
being used,0.0
below,0.0
benchmark,0.0
beneficial,0.0
beneficial ownership,0.0
best,0.0
better,0.0
between,0.0
between source,0.0
block,0.0
board,0.0
border,0.0
border transaction,0.0
boundaries,0.0
brainstorming,0.0
brainstorming session,0.0
branch,0.0
breach,0.0
breaker,0.0
budget,0.0
bug,0.0
bug tracking,0.0
build,8.030280368397642e-07
build data,0.0
build etl,0.0
build performance,0.0
build social,0.0
build the,0.0
bulk,0.0
bulk insert,0.0
business,0.0
business analyst,0.0
business continuity,0.0
business glossary,0.0
business need,0.0
business process,0.0
business requested,0.0
business requirement,0.0
business requirements,0.0
business should,0.0
business team,0.0
but,0.0
by,0.0
by at,0.0
by hsbc,0.0
by my,0.0
by the,0.0
cache,0.0
calculated,0.0
calculated then,0.0
call,0.0
call as,0.0
call so,0.0
calls,0.0
came,0.0
came out,0.0
can,4.37047987483641e-10
can access,0.0
can be,0.0
can identify,0.0
can move,0.0
can proceed,0.0
can track,0.0
can use,0.0
canary,0.0
canary deployments,0.0
cannot,0.0
cannot be,0.0
capacity,0.0
capture,0.0
captured,0.0
case,0.0
cases,0.0
catalog,0.0
caught,0.0
caught early,0.0
cause,0.0
cause analysis,0.0
cd,0.0
centralized,0.0
certificate,0.0
certificate rotation,0.0
certification,0.0
chain,0.0
chain as,0.0
change,0.0
change control,0.0
change request,0.0
changes,0.0
changes are,0.0
changes as,0.0
changes discussed,0.0
changes from,0.0
changes requested,0.0
changes that,0.0
changes then,0.0
changes when,0.0
chaos,3.887636278676575e-07
charter,0.0
chat,0.0
check,0.0
checked,0.0
checklist,0.0
checklist as,0.0
checklist exists,0.0
checklist for,0.0
checks,0.0
ci,0.0
ci cd,0.0
circuit,0.0
circuit breaker,0.0
classification,0.0
clean,0.0
clean performance,0.0
clear,0.0
client,0.0
close,0.0
close them,0.0
closed,0.0
closure,0.0
closure report,0.0
co,0.0
code,3.592957479916942e-07
code change,0.0
code changes,0.0
code following,0.0
code freeze,0.0
code quality,0.0
code review,0.0
code reviews,0.0
code should,0.0
code then,0.0
codebase,0.0
coding,0.0
coin,0.0
collected,0.0
collected when,0.0
collection,0.0
column,0.0
column name,0.0
column statistics,0.0
columns,0.0
columns data,0.0
combined,0.0
comments,0.0
comments exist,0.0
comments must,0.0
comments on,0.0
commitment,0.0
commitment given,0.0
common,0.0
communication,0.0
communication plan,0.0
communication template,0.0
companies,0.0
company,0.0
compared,0.0
complete,0.0
complete audit,0.0
complete the,0.0
complete them,0.0
complete then,0.0
complete within,0.0
completed,0.0
completed work,0.0
completeness,0.0
completes,0.0
completes then,0.0
completes when,0.0
completion,0.0
completion rate,0.0
compliance,0.0
compliance analyst,0.0
compliance as,0.0
compliance dashboard,0.0
compliance manager,0.0
compliance officer,0.0
compliance so,0.0
compliance team,0.0
compliant,0.0
component,0.0
components,0.0
components as,0.0
compression,0.0
compression for,0.0
concerns,0.0
concerns exist,0.0
concerns from,0.0
conduct,0.0
config,0.0
configurable,0.0
configuration,0.0
configuration baseline,0.0
configure,0.0
configured,0.0
configured then,0.0
configured when,0.0
confirmed,0.0
confirmed suspicious,0.0
connect,0.0
connected,0.0
connection,0.0
connection pooling,0.0
connections,0.0
connections are,0.0
connections must,0.0
consecutive,0.0
consistency,0.0
consistency is,0.0
consistent,0.0
consistent and,0.0
consistently,0.0
contain,0.0
contains,0.0
content,0.0
context,0.0
continuity,0.0
contract,0.0
contracts,0.0
control,0.0
control as,1.9938294191092062e-06
control job,0.0
control jobs,4.4453131944821615e-05
controls,0.0
conventions,0.0
conversation,0.0
conversation as,0.0
conversation happened,0.0
conversation with,0.0
coordinated,0.0
coordination,0.0
coordinator,0.0
coordinator want,0.0
correct,0.0
correct given,0.0
correctly,0.0
correctly given,0.0
correlation,0.0
corrupt,0.0
corrupt rows,0.0
count,0.0
counts,0.0
coverage,0.0
covering,0.0
cpu,1.5157332531523395e-05
create,1.5796944783630899e-10
create automated,0.0
create data,0.0
create jira,0.0
create onboarding,0.0
create performance,0.0
create project,0.0
create security,0.0
create service,0.0
create social,0.0
create table,0.0
create technical,0.0
create user,0.0
created,0.0
created then,0.0
credentials,0.0
credentials are,0.0
credibility,0.0
credibility score,0.0
criteria,0.0
criteria for,0.0
critical,0.0
critical path,2.4881385310371955e-05
cross,0.0
cross border,0.0
crypto,0.0
cryptocurrency,0.0
csv,0.0
currency,0.0
current,0.0
custom,0.0
customer,0.0
customer 360,0.0
customer data,0.0
customer has,0.0
customer is,0.0
customer profile,0.0
customer risk,0.0
customer segments,0.0
customer uses,0.0
customer_id,0.0
customer_id amount,0.0
customer_id and,0.0
customers,0.0
customers so,0.0
daily,0.0
daily batch,0.0
daily sync,0.0
dark,0.0
dark web,0.0
dashboard,2.0648331848159377e-05
dashboard as,0.0
dashboard for,0.0
dashboard loads,0.0
dashboard must,0.0
dashboard navigation,0.0
dashboard refreshes,0.0
dashboard so,0.0
data,6.912593180414578e-07
data access,0.0
data as,0.0
data breach,0.0
data catalog,0.0
data dictionary,0.0
data elements,0.0
data engineer,3.0506758328025624e-05
data flow,0.0
data flows,0.0
data for,0.0
data generator,0.0
data given,0.0
data governance,3.883794708095397e-11
data ingestion,0.0
data into,0.0
data is,0.0
data loader,0.0
data loading,0.0
data loss,0.0
data management,0.0
data masking,0.0
data migration,0.0
data minimization,0.0
data must,0.0
data older,0.0
data patterns,0.0
data processing,0.0
data processor,0.0
data produce,0.0
data profile,0.0
data profiling,0.0
data protection,0.0
data quality,4.7465827698023843e-11
data reconciliation,0.0
data reliability,0.0
data requests,0.0
data required,0.0
data retention,0.0
data sampling,0.0
data schedule,0.0
data schema,0.0
data scientist,0.0
data sharing,0.0
data should,0.0
data so,0.0
data source,0.0
data sources,0.0
data strategy,0.0
data streams,0.0
data structure,0.0
data subject,0.0
data subsetting,0.0
data then,0.0
data to,0.0
data transformation,0.0
data type,0.0
data types,0.0
data validation,0.0
data versioning,0.0
data volume,0.0
data when,0.0
data_accessed,0.0
data_accessed action,0.0
database,0.0
database activity,0.0
database apply,0.0
database as,0.0
database backup,0.0
database changes,0.0
database connection,0.0
database connections,0.0
database database,0.0
database developer,0.0
database fails,0.0
database given,0.0
database maintenance,0.0
database must,0.0
database page,0.0008526278848557417
database password,0.0
database so,0.0
database table,0.0
database tables,0.0
database throttle,0.0005274276688024462
database timeout,0.0
database to,0.0
database when,0.0
datasets,0.0
datasets given,0.0
date,0.0
date and,0.0
date as,0.0
date formats,0.0
date given,0.0
date range,0.0
date set,0.0
dates,0.0
dates and,0.0
dates follow,0.0
dates for,0.0
dates must,0.0
dates q1,0.0
day1,0.0
day1 environment,0.0
day3,0.0
day3 codebase,0.0
day6,0.0
day6 pair,0.0
day9,0.0
day9 10,0.0
days,0.0
days access,0.0
days alerts,0.0
days before,0.0
days database,0.0
days encryption,0.0
days false,0.0
days for,0.0
days high,0.0
days log,0.0
days low,0.0
days medium,0.0
days must,0.0
days orange,0.0
days red,0.0
days rotated,0.0
days then,0.0
days when,0.0
days yellow,0.0
dba,0.0
dba as,0.0
dba identified,0.0
dba team,0.0
dba want,0.0
dba with,0.0
dd,0.0
dd amount,0.0
ddos,0.0
ddos attacks,0.0
dead,0.0
dead letter,2.1163894700326487e-09
deadline,0.0
deadline track,0.0
debt,0.0
debt items,0.0
debt list,0.0
debt register,0.0
debt tracked,0.0
debugging,0.0
debugging is,0.0
dec,0.0
dec with,0.0
decided,0.0
decided as,0.0
decided in,0.0
decision,0.0
decision checklist,0.0
decision context,0.0
decision is,0.0
decision records,0.0
decision was,0.0
decisions,0.0
decisions as,0.0
decisions needed,0.0
decisions so,0.0
dedicated,0.0
dedicated table,0.0
dedicated vpc,0.0
dedicated workflow,0.0
deduplicate,0.0
deduplicate same,0.0
deduplication,0.0
deduplication for,0.0
deduplication runs,0.0
defects,0.0
defects are,0.0
define,0.0
define alert,0.0
define availability,0.0
define backup,0.0
define bug,0.0
define change,0.0
define chaos,0.0009147334442443713
define code,0.0
define data,0.0
define disaster,0.0
define environment,0.0
define false,0.0
define incident,0.0
define log,0.0
define minimum,0.0
define non,0.0
define performance,0.0
define raci,2.95388622972382e-06
define release,0.0
define rollback,0.0
define security,0.0
define sla,0.0
define sprint,0.0
define team,0.0
define test,0.0
define uat,0.0
define weekly,0.0
defined,0.0
defined by,0.0
defined for,0.0
defined so,0.0
defined sprint,0.0
defined then,0.0
defined when,0.0
defines,0.0
defines that,0.0
definition,0.0
definition to,0.0
definitions,0.0
definitions so,0.0
degrade,0.0
degrade gracefully,0.0
degrades,0.0
degrades by,0.0
delay,0.0011219270806992056
delay network,0.00034418186627883246
delays,0.0
delays are,0.0
delete,0.0
delete to,0.0
deletion,0.0
deletion mechanism,0.0
delimited,0.0
delimited format,0.0
delimited with,0.0
delimiter,0.0
delimiter is,0.0
deliver,0.0
deliver on,0.0
deliver the,0.0
deliver value,0.0
deliver what,0.0
deliverable,6.7721180207667745e-06
deliverable tbd,1.405666280711913e-05
deliverables,0.0
deliverables given,0.0
delivered,0.0
delivered given,0.0
demo,0.0
demo as,0.0
demo feedback,0.0
demo of,0.0
demo so,0.0
demo when,0.0
demonstrated,0.0
demonstrated so,0.0
dependencies,0.0
dependencies are,0.0
dependencies critical,0.0
dependencies mainframe,0.0
dependencies so,0.0
dependency,0.0
dependency chain,0.0
dependency graph,0.0
dependency management,0.0
dependency matrix,0.0
dependency tracking,0.0
dependent,0.0
dependent tasks,0.0
deploy,0.0
deploy to,0.0
deployed,0.0
deployed before,0.0
deployed given,0.0
deployed when,0.0
deployed within,0.0
deployment,0.0
deployment as,0.0
deployment checklist,0.0
deployment component,0.0
deployment fails,0.0
deployment pipeline,0.0
deployment so,0.0
deployment steps,0.0
deployment to,0.0
deployment when,0.0
deployments,0.0
deployments can,0.0
deployments for,0.0
deployments so,0.0
deployments validate,0.0
deploys,0.0
deploys to,0.0
described,0.0
described any,0.0
described as,0.0
described in,0.0
describes,0.0
describes so,0.0
description,0.0
description impact,0.0
description source,0.0
description when,0.0
design,0.0
design as,0.0
design document,0.0
design exists,0.0
design given,0.0
design index,0.0
design is,0.0
design oracle,0.0
design review,0.0
design should,0.0
design then,0.0
detailed,0.0
detailed design,0.0
detailed project,0.0
detailed stories,0.0
details,1.3545420378131185e-05
details and,0.0
details investigation,0.0
details later,0.0
details masked,0.0
details relevant,3.6042415149834194e-06
details suspicious,0.0
detect,0.0
detect beneficial,0.0
detect coordinated,0.0
detect crypto,0.0
detect data,0.0
detect drift,0.0
detect duplicate,0.0
detect funds,0.0
detect laundering,0.0
detect money,0.0
detect professional,0.0
detect shell,0.0
detect single,0.0
detect suspicious,0.0
detect use,0.0
detect when,0.0
detected,0.0
detected automatically,0.0
detected document,0.0
detected given,0.0
detected monitor,0.0
detected proactively,0.0
detected then,0.0
detected when,0.0
detection,0.0
detection across,0.0
detection adapts,0.0
detection algorithm,0.0
detection as,0.0
detection gaps,0.0
detection model,0.0
detection of,0.0
detection so,0.0
detection threshold,0.0
detection time,0.0
detects,0.0
detects then,0.0
dev,0.0
dev and,0.0
dev database,0.0
dev deploy,0.0
dev on,0.0
dev or,0.0
dev refreshed,0.0
dev to,0.0
develop,0.0
develop python,0.0
developer,0.0020636747949348178
developer accesses,0.0
developer joins,0.0
developer want,4.4253695125151506e-06
developers,0.0
developers have,0.0
developers so,0.0
developers starting,0.0
developers understand,0.0
development,0.0
development as,0.0
development doesn,0.0
development environment,0.0
development follows,0.0
development given,0.0
development has,0.0
development practices,0.0
development process,0.0
development seats,0.0
development so,0.0
development team,0.0
deviates,0.0
deviates significantly,0.0
deviation,0.0
deviation exceeds,0.0
devops,0.0
devops engineer,0.0
diagram,0.0
diagram as,0.0
diagram exists,0.0
diagram so,0.0
diagram that,0.0
diagrams,0.0
diagrams for,0.0
diagrams stride,0.0
dictionary,0.0
dictionary for,0.0
dictionary must,0.0
different,0.0
different audiences,0.0
digest,0.0
digest of,0.0
diligence,0.0
diligence applies,0.0
diligence for,0.0
diligence given,0.0
disaster,0.0
disaster occurs,0.0
disaster recovery,0.0
disclosures,0.0
disclosures are,0.0
discussed,0.0
discussed any,0.0
discussed as,0.0
discussed earlier,0.0
discussed given,0.0
discussed in,0.0
discussed on,0.0
discussed testing,0.0
discussed the,0.0
discussed when,0.0
discussion,0.0
discussion as,0.0
discussion happened,0.0
discussion in,0.0
discussion we,0.0
discussion when,0.0
disk,0.0
disk space,0.0
distinct,0.0
distinct values,0.0
distributed,0.0
distributed and,0.0
do,0.0
do investigator,0.0
do it,0.0
do the,0.0
do them,0.0
do what,0.0
docs,0.0
docs should,0.0
document,0.0
document 10,0.0
document all,0.0
document api,0.0
document as,0.0
document baseline,0.0
document business,0.0
document contains,0.0
document describes,0.0
document disaster,0.0
document each,0.0
document environment,0.0
document exists,0.0
document finding,0.0
document for,0.0
document has,0.0
document how,0.0
document known,0.0
document lawful,0.0
document lessons,0.0
document must,0.0
document norkom,0.0
document restore,0.0
document so,0.0
document specifies,0.0
document ssl,0.0
document system,0.0
document that,0.0
document then,0.0
document third,0.0
document when,0.0
document will,0.0
documentation,0.0
documentation and,0.0
documentation as,0.0
documentation complete,0.0
documentation discussed,5.317064185145811e-07
documentation exists,0.0
documentation needs,0.0
documentation related,2.3502767027739088e-07
documentation should,0.0
documentation so,0.0
documented,1.4096975508928105e-08
documented adrs,0.0
documented coding,0.0
documented dr,0.0
documented in,0.0
documented need,0.0020423110317239154
documented slas,0.0
documented so,0.0
doesn,0.0
doesn break,0.0
doesn expose,0.0
doesn impact,0.0
doesn recur,0.0
don,0.0
don block,0.0
don cascade,0.0
don cause,0.0
don hit,0.0
don overwhelm,0.0
don require,0.0
done,0.0
done approvals,0.0
done correctly,0.0
done given,0.0
down,0.0
down response,0.0
downstream,0.0
downstream analysis,0.0
downstream jobs,0.0
downstream system,0.0
downstream systems,0.0
downstream transformations,0.0
downstream users,0.0
downtime,0.0
downtime is,0.0
dr,0.0
dr coordinator,0.0
dr plan,0.0
dr procedures,0.0
